COD_DANE,Total_Viviendas,Casas,Casas_indigenas,Apartamento,Tipo_Cuarto,Electrica_SI,Electrica_NO,GasNatural_SI,GasNatur_NO,Alcantarillado_SI,Alcantarillado_NO,Acueducto_SI,Acueducto_NO,Total_Hogares,Total_Personas,HOMBRE,MUJER,Preescolar,Primaria,Secundaria,Especializacion,Ninguna_Educacion,No_responde
7300110000000000590101,37,23,,14,0,34,0,30,4,34,0,34,0,35,146,59,87,2,44,21,1,15,63
7300110000000000320703,30,16,,14,0,30,0,28,2,30,0,30,0,34,129,51,78,3,22,29,0,5,70
7300110000000000330935,156,35,,117,3,146,1,89,58,146,1,146,1,149,511,243,268,17,97,88,4,30,275
7300110000000000330221,15,14,,1,0,14,1,7,8,14,1,14,1,15,48,27,21,0,6,9,1,0,32
7300110000000000330103,36,34,,2,0,36,0,32,4,36,0,36,0,36,115,52,63,2,16,13,2,2,80
7300110000000000590402,53,43,,9,1,53,0,50,3,53,0,53,0,53,181,88,93,2,62,37,0,7,73
7300110000000000580504,19,13,,4,2,18,0,13,5,18,0,18,0,18,66,35,31,3,22,20,0,5,16
7300110000000000530416,38,23,,13,2,37,0,35,2,37,0,37,0,38,139,69,70,3,25,33,0,12,66
7300110000000000330318,5,5,,0,0,4,1,3,2,5,0,5,0,5,16,8,8,0,4,4,0,7,1
7300110000000000590715,6,3,,2,1,6,0,2,4,6,0,6,0,6,16,9,7,0,8,3,0,1,4
7300110000000000330341,17,6,,10,1,17,0,15,2,17,0,17,0,17,61,26,35,0,17,17,0,3,24
7300110000000000580301,55,8,,46,1,55,0,54,1,55,0,55,0,99,273,109,164,50,10,11,0,3,199
7300110000000000330915,12,7,,5,0,12,0,11,1,12,0,12,0,12,35,17,18,1,8,5,1,2,18
7300110000000000590207,35,32,,3,0,33,0,23,9,33,0,33,0,33,124,53,71,2,34,35,0,6,47
7300110000000000331122,28,22,,6,0,28,0,20,8,28,0,28,0,28,120,62,58,6,21,15,9,4,65
7300110000000000330243,26,18,,7,1,25,0,8,17,25,0,25,0,25,106,53,53,3,36,24,2,9,32
7300110000000000330335,17,14,,3,0,17,0,16,1,17,0,17,0,18,65,31,34,3,18,16,0,3,25
7300110000000000330102,53,35,,16,2,52,0,41,11,52,0,52,0,53,190,86,104,9,30,49,4,5,93
7300110000000000130307,31,30,,1,0,29,0,27,2,29,0,29,0,29,126,66,60,4,12,21,8,5,76
7300110000000000140414,10,5,,4,1,10,0,10,0,10,0,10,0,10,43,16,27,2,10,8,0,3,20
7300110000000000590505,18,14,,4,0,16,0,11,5,16,0,16,0,18,73,40,33,0,25,17,0,11,20
7300110000000000580508,34,32,,2,0,33,0,23,10,33,0,33,0,33,115,47,68,3,33,36,0,4,39
7300110000000000580322,20,18,,1,1,19,0,19,0,19,0,19,0,21,78,38,40,0,24,17,0,6,31
7300110000000000330217,17,13,,4,0,16,0,13,3,16,0,16,0,16,49,20,29,2,4,6,0,0,37
7300110000000000580505,30,30,,0,0,26,0,17,9,26,0,26,0,26,81,40,41,2,17,21,3,3,35
7300110000000000330328,29,19,,10,0,29,0,24,5,29,0,29,0,30,119,52,67,2,35,26,0,3,53
7300110000000000580114,38,24,,11,3,38,0,32,6,38,0,38,0,40,141,65,76,5,43,24,2,8,59
7300110000000000580115,37,26,,11,0,37,0,32,5,36,1,37,0,38,152,77,75,3,53,41,0,6,49
7300110000000000330407,34,21,,11,2,33,0,28,5,33,0,33,0,47,152,70,82,5,40,34,0,10,63
7300110000000000331111,33,24,,9,0,33,0,30,3,33,0,33,0,34,119,59,60,2,22,17,5,3,70
7300110000000000580112,19,17,,2,0,16,1,11,6,17,0,17,0,17,53,22,31,0,16,15,0,4,18
