COD_DANE;VERSION;AREA;Total_Viviendas;Casa;Apartamento;Tipo_Cuarto;Electrica_SI;Electrica_NO;GasNatural_SI;GasNatural_NO;Alcantarillado_SI;Alcantarillado_NO;Acueducto_SI;Acueducto_NO;Total_Personas;HOMBRE;MUJER;Preescolar;Primaria;Secundaria;Especializacion;Ninguna_Educacion;No_responde;Ninguno;Ninguno
7300110000000000000000;2018;5379.862696;30;12;18;0;46;0;23;0;23;0;23;0;87;45;42;18;0;24;0;3;60;1;2
7300110000000000130204;2018;3244.940412;34;32;2;0;56;0;28;0;28;0;28;0;84;40;44;0;0;40;0;1;43;1;0
7300110000000000130206;2018;2081.423166;24;15;9;0;30;0;15;0;15;0;15;0;38;18;20;0;0;18;0;1;19;1;0
7300110000000000130207;2018;5619.115851;65;59;4;2;112;0;54;1;56;0;56;0;177;72;105;14;0;84;0;4;89;1;3
7300110000000000130208;2018;4902.728507;56;44;11;1;94;0;47;0;47;0;47;0;153;70;83;30;0;44;0;7;102;1;6
7300110000000000130215;2018;1330.499927;17;17;0;0;30;0;15;0;15;0;15;0;40;18;22;9;16;13;0;0;11;0;0
7300110000000000130219;2018;666.214566;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7300110000000000130221;2018;11002.045043;69;61;8;0;125;0;63;0;63;0;63;0;198;95;103;20;60;94;0;2;42;2;0
7300110000000000130222;2018;29854.476448;520;3;515;2;756;2;374;1;378;0;378;0;1017;486;531;129;260;376;166;31;184;21;10
7300110000000000130223;2018;667.344902;4;1;3;0;8;0;3;1;4;0;4;0;8;4;4;0;0;0;0;0;8;0;0
7300110000000000130224;2018;3384.025092;14;12;2;0;28;0;14;0;14;0;14;0;38;20;18;0;0;11;0;3;24;0;3
7300110000000000130225;2018;2655.405146;28;22;4;2;40;0;19;1;19;1;19;1;55;26;29;0;17;18;0;2;18;2;0
7300110000000000130226;2018;1954.571333;25;22;3;0;48;0;24;0;24;0;24;0;67;33;34;0;0;19;0;1;47;1;0
7300110000000000130227;2018;1867.904079;26;22;4;0;44;0;22;0;22;0;22;0;63;31;32;7;0;26;0;2;35;2;0
7300110000000000130228;2018;16011.782779;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7300110000000000130230;2018;1044.502154;15;7;8;0;24;0;12;0;12;0;12;0;25;13;12;0;0;14;0;0;11;0;0
7300110000000000130231;2018;364.542990;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7300110000000000130232;2018;1474.966374;16;14;2;0;30;0;14;1;15;0;15;0;41;21;20;0;24;0;0;1;16;1;0
7300110000000000130233;2018;4445.486348;46;41;5;0;74;0;37;0;37;0;37;0;102;46;56;16;0;44;0;4;54;1;3
7300110000000000130234;2018;665.811486;7;7;0;0;14;0;7;0;7;0;7;0;26;14;12;0;0;6;0;2;18;0;2
7300110000000000130302;2018;1817.015131;25;23;2;0;38;0;19;0;19;0;19;0;62;27;35;0;19;25;0;3;15;1;2
7300110000000000130303;2018;2166.175133;32;28;3;1;52;0;26;0;26;0;26;0;70;37;33;7;0;25;0;4;41;2;2
7300110000000000130307;2018;2740.558577;28;27;1;0;54;0;27;0;27;0;27;0;103;55;48;0;34;45;0;3;21;1;2
7300110000000000130308;2018;2715.799610;39;39;0;0;62;0;31;0;31;0;31;0;99;40;59;0;0;33;7;4;55;3;1
7300110000000000130309;2018;3140.319206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7300110000000000130310;2018;1740.856764;29;29;0;0;44;0;22;0;22;0;22;0;59;27;32;0;0;22;0;0;37;0;0
7300110000000000130311;2018;5424.433853;33;2;31;0;54;0;27;0;27;0;27;0;85;41;44;0;28;30;0;7;20;0;7
7300110000000000130312;2018;3393.430217;21;12;9;0;34;0;16;0;17;0;17;0;47;25;22;0;0;13;0;3;31;0;3
7300110000000000130313;2018;3153.823796;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7300110000000000130329;2018;24732.653375;128;70;58;0;184;0;91;1;92;0;92;0;259;120;139;39;73;96;38;6;46;2;4
7300110000000000130331;2018;2205.577215;35;30;5;0;64;0;32;0;32;0;32;0;96;45;51;8;0;53;0;1;42;1;0
7300110000000000130332;2018;30458.533752;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7300110000000000130333;2018;2523.848420;34;22;12;0;56;0;28;0;28;0;28;0;80;41;39;11;0;32;0;1;47;1;0
7300110000000000130334;2018;1335.711019;10;3;7;0;14;0;7;0;7;0;7;0;26;14;12;0;0;12;0;0;14;0;0
7300110000000000130335;2018;1250.642843;34;5;29;0;59;0;29;0;30;0;30;0;89;42;47;21;0;30;0;0;59;0;0
7300110000000000130336;2018;3556.907333;8;3;5;0;16;0;8;0;8;0;8;0;27;10;17;0;0;12;0;1;14;1;0
7300110000000000130337;2018;1281.683720;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7300110000000000130338;2018;3192.490534;42;15;27;0;54;0;18;9;27;0;27;0;70;31;39;5;0;26;0;8;36;2;6
7300110000000000130339;2018;4522.976441;66;1;64;1;96;0;47;0;48;0;48;0;128;55;73;14;50;42;0;3;33;1;2
7300110000000000130340;2018;4900.388027;83;0;81;2;138;0;67;1;69;0;69;0;197;84;113;29;0;86;0;4;107;2;2
7300110000000000130341;2018;460.152354;18;17;1;0;30;0;0;15;5;10;5;10;61;27;34;19;0;0;0;4;57;4;0
7300110000000000130342;2018;1101.720326;12;12;0;0;16;0;7;1;8;0;8;0;19;11;8;0;0;0;0;0;19;0;0
7300110000000000130343;2018;3249.576718;37;2;34;1;64;0;30;1;32;0;32;0;84;39;45;13;24;35;9;1;15;0;1
7300110000000000130344;2018;6497.434002;74;0;74;0;122;0;58;1;61;0;61;0;173;79;94;29;0;46;0;9;118;3;6
7300110000000000130345;2018;417.694551;11;10;1;0;20;0;0;10;5;5;4;6;37;13;24;13;0;0;0;0;37;0;0
7300110000000000130346;2018;921.796417;25;0;25;0;50;0;25;0;25;0;25;0;68;33;35;0;0;26;0;0;42;0;0
7300110000000000130347;2018;2322.082300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7300110000000000130348;2018;5974.534990;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7300110000000000130349;2018;948.890037;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7300110000000000130350;2018;234.098228;7;6;1;0;14;0;0;7;3;4;3;4;29;14;15;12;0;0;0;0;29;0;0
7300110000000000130351;2018;601.590963;9;7;2;0;18;0;0;9;2;7;2;7;35;18;17;0;0;0;0;3;32;2;1
7300110000000000130352;2018;502.154050;10;10;0;0;20;0;0;10;3;7;2;8;32;20;12;0;0;0;0;1;31;1;0
7300110000000000130353;2018;3152.097967;17;17;0;0;24;0;1;11;5;7;5;7;42;17;25;19;0;0;0;1;41;1;0
7300110000000000130354;2018;2396.863378;24;21;1;1;35;0;0;18;7;11;7;11;66;28;38;24;0;0;0;3;63;3;0
7300110000000000130355;2018;3035.619104;10;10;0;0;19;0;1;9;5;5;4;6;28;15;13;0;0;0;0;3;25;1;2
7300110000000000130502;2018;2623.650065;38;35;3;0;12;0;6;0;6;0;6;0;18;12;6;0;0;10;0;1;7;1;0
7300110000000000130503;2018;2290.596008;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7300110000000000130504;2018;122642.559034;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7300110000000000130517;2018;3203.732881;54;50;4;0;104;0;51;1;51;1;52;0;185;81;104;72;0;20;0;7;158;6;1
7300110000000000140101;2018;4002.550081;26;16;4;6;50;0;23;0;25;0;25;0;73;29;44;19;0;19;0;4;50;0;4
7300110000000000140105;2018;4001.978527;27;20;7;0;48;0;24;0;24;0;24;0;72;28;44;15;0;22;0;3;47;2;1
7300110000000000140106;2018;4023.614337;39;15;24;0;70;0;35;0;35;0;35;0;99;44;55;0;0;28;0;3;68;3;0
7300110000000000140110;2018;9071.358834;72;41;31;0;104;0;52;0;52;0;52;0;158;76;82;31;61;51;0;7;39;5;2
7300110000000000140111;2018;4454.485181;50;12;38;0;72;0;33;0;36;0;36;0;115;51;64;22;0;34;0;8;73;8;0
7300110000000000140113;2018;6007.469969;46;28;18;0;80;0;39;1;40;0;40;0;117;51;66;36;0;45;0;1;71;0;1
7300110000000000140114;2018;4423.480931;36;19;17;0;58;0;29;0;29;0;29;0;82;33;49;0;0;33;0;3;46;1;2
7300110000000000140118;2018;6035.335060;47;33;14;0;86;0;42;0;43;0;43;0;134;67;67;23;60;37;0;2;35;2;0
7300110000000000140119;2018;1484.996147;19;10;3;6;26;0;12;1;13;0;13;0;37;17;20;0;0;8;0;1;28;1;0
7300110000000000140301;2018;1656.415864;22;13;9;0;42;0;21;0;21;0;21;0;65;21;44;11;0;0;0;0;65;0;0
7300110000000000140302;2018;1085.381276;24;7;17;0;44;0;21;0;22;0;22;0;73;31;42;0;0;22;0;2;49;2;0
7300110000000000140303;2018;359.155880;7;4;3;0;14;0;7;0;7;0;7;0;21;12;9;0;0;0;0;0;21;0;0
7300110000000000140304;2018;18404.962961;180;4;175;1;306;0;152;0;153;0;152;1;370;167;203;28;105;157;55;5;48;0;5
7300110000000000140306;2018;1665.981651;23;13;10;0;40;0;20;0;20;0;20;0;65;23;42;0;0;18;0;5;42;4;1
7300110000000000140307;2018;1665.259132;29;20;9;0;56;0;28;0;28;0;28;0;82;35;47;0;0;28;7;1;46;0;1
7300110000000000140308;2018;1292.351721;25;15;10;0;42;0;21;0;21;0;21;0;59;23;36;0;0;19;0;5;35;5;0
7300110000000000140309;2018;6281.949768;1075;809;227;33;2120;25;980;75;1038;33;1050;21;2379;1324;1055;384;922;661;115;164;517;43;121
7300110000000000140319;2018;8895.096429;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7300110000000000140320;2018;1061.449443;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7300110000000000140409;2018;1132.348539;16;5;10;1;28;0;14;0;14;0;14;0;44;18;26;0;0;8;0;2;34;1;1
7300110000000000140410;2018;1120.616402;21;11;9;1;30;0;14;1;15;0;15;0;37;15;22;0;0;14;0;3;20;3;0
